DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
2.930, 38.3482
5.859, 45.2249
8.789, 47.3066
11.719, 47.9997
14.648, 48.3981
17.578, 48.4254
20.508, 48.4491
23.438, 48.3258
26.367, 48.2042
29.297, 47.9981
32.227, 47.7809
35.156, 47.5609
38.086, 47.3215
41.016, 47.0729
43.945, 46.8276
46.875, 46.5744
49.805, 46.3003
52.734, 46.0451
55.664, 45.8048
58.594, 45.5419
61.523, 45.2827
64.453, 45.0212
67.383, 44.7921
70.313, 44.5680
73.242, 44.3436
76.172, 44.1084
79.102, 43.8686
82.031, 43.6330
84.961, 43.4270
87.891, 43.2009
90.820, 42.9792
93.750, 42.8280
96.680, 42.5879
99.609, 42.3861
102.539, 42.2063
105.469, 42.0216
108.398, 41.8279
111.328, 41.6409
114.258, 41.4735
117.188, 41.2915
120.117, 41.1331
123.047, 40.9708
125.977, 40.8112
128.906, 40.6435
131.836, 40.4987
134.766, 40.3310
137.695, 40.1875
140.625, 40.0503
143.555, 39.8960
146.484, 39.7662
149.414, 39.6329
152.344, 39.5075
155.273, 39.3534
158.203, 39.2328
161.133, 39.1037
164.063, 38.9857
166.992, 38.8688
169.922, 38.7480
172.852, 38.6298
175.781, 38.5256
178.711, 38.3946
181.641, 38.2860
184.570, 38.1685
187.500, 38.0909
190.430, 37.9586
193.359, 37.8656
196.289, 37.7677
199.219, 37.6758
202.148, 37.5679
205.078, 37.4786
208.008, 37.3719
210.938, 37.2985
213.867, 37.2023
216.797, 37.1171
219.727, 37.0355
222.656, 36.9512
225.586, 36.8695
228.516, 36.7744
231.445, 36.6963
234.375, 36.6202
237.305, 36.5372
240.234, 36.4715
243.164, 36.3877
246.094, 36.3174
249.023, 36.2465
251.953, 36.1610
254.883, 36.0968
257.813, 36.0254
260.742, 35.9685
263.672, 35.9103
266.602, 35.8341
269.531, 35.7647
272.461, 35.7033
275.391, 35.6445
278.320, 35.5715
281.250, 35.5442
284.180, 35.4535
287.109, 35.4035
290.039, 35.3503
292.969, 35.2885
295.898, 35.2360
298.828, 35.1661
301.758, 35.1177
304.688, 35.0732
307.617, 35.0148
310.547, 34.9665
313.477, 34.9165
316.406, 34.8660
319.336, 34.8157
322.266, 34.7625
325.195, 34.7155
328.125, 34.6624
331.055, 34.6207
333.984, 34.5719
336.914, 34.5337
339.844, 34.4866
342.773, 34.4367
345.703, 34.3988
348.633, 34.3478
351.563, 34.3199
354.492, 34.2673
357.422, 34.2363
360.352, 34.1923
363.281, 34.1547
366.211, 34.1223
369.141, 34.0753
372.070, 34.0390
375.000, 34.2253
377.930, 33.9587
380.859, 33.9309
383.789, 33.8800
386.719, 33.8549
389.648, 33.8098
392.578, 33.7892
395.508, 33.7524
398.438, 33.7132
401.367, 33.6897
404.297, 33.6565
407.227, 33.6095
410.156, 33.5758
413.086, 33.5564
416.016, 33.5314
418.945, 33.4906
421.875, 33.4664
424.805, 33.4274
427.734, 33.4009
430.664, 33.3808
433.594, 33.3384
436.523, 33.3190
439.453, 33.2911
442.383, 33.2564
445.313, 33.2339
448.242, 33.2031
451.172, 33.1816
454.102, 33.1497
457.031, 33.1341
459.961, 33.1034
462.891, 33.0778
465.820, 33.0551
468.750, 33.0077
471.680, 32.9975
474.609, 32.9706
477.539, 32.9457
480.469, 32.9323
483.398, 32.9035
486.328, 32.8901
489.258, 32.8518
492.188, 32.8409
495.117, 32.8146
498.047, 32.7937
500.977, 32.7580
503.906, 32.7475
506.836, 32.7311
509.766, 32.7103
512.695, 32.6865
515.625, 32.6641
518.555, 32.6504
521.484, 32.6238
524.414, 32.5993
527.344, 32.5764
530.273, 32.5750
533.203, 32.5499
536.133, 32.5284
539.063, 32.5058
541.992, 32.4960
544.922, 32.4628
547.852, 32.4573
550.781, 32.4296
553.711, 32.4117
556.641, 32.3985
559.570, 32.3805
562.500, 32.3331
565.430, 32.3468
568.359, 32.3261
571.289, 32.3095
574.219, 32.2968
577.148, 32.2757
580.078, 32.2543
583.008, 32.2516
585.938, 32.2262
588.867, 32.2107
591.797, 32.1999
594.727, 32.1734
597.656, 32.1668
600.586, 32.1484
603.516, 32.1291
606.445, 32.1224
609.375, 32.0971
612.305, 32.0859
615.234, 32.0751
618.164, 32.0624
621.094, 32.0483
624.023, 32.0202
626.953, 32.0188
629.883, 32.0067
632.813, 31.9903
635.742, 31.9803
638.672, 31.9618
641.602, 31.9526
644.531, 31.9446
647.461, 31.9326
650.391, 31.9006
653.320, 31.8919
656.250, 31.8566
659.180, 31.8694
662.109, 31.8539
665.039, 31.8413
667.969, 31.8320
670.898, 31.8187
673.828, 31.8101
676.758, 31.7970
679.688, 31.7797
682.617, 31.7706
685.547, 31.7535
688.477, 31.7411
691.406, 31.7319
694.336, 31.7334
697.266, 31.7110
700.195, 31.6954
703.125, 31.6863
706.055, 31.6853
708.984, 31.6661
711.914, 31.6582
714.844, 31.6511
717.773, 31.6352
720.703, 31.6183
723.633, 31.6104
726.563, 31.6005
729.492, 31.5843
732.422, 31.5755
735.352, 31.5641
738.281, 31.5614
741.211, 31.5522
744.141, 31.5396
747.070, 31.5197
750.000, 31.2938
752.930, 31.5060
755.859, 31.4972
758.789, 31.4777
761.719, 31.4665
764.648, 31.4675
767.578, 31.4608
770.508, 31.4482
773.438, 31.4416
776.367, 31.4288
779.297, 31.4215
782.227, 31.4011
785.156, 31.3916
788.086, 31.3756
791.016, 31.3847
793.945, 31.3721
796.875, 31.3576
799.805, 31.3563
802.734, 31.3394
805.664, 31.3356
