Freq.	V(out)
7.59042165791724e+002	2.85041878691246e+001,-2.46038000393534e+001
7.64425466975951e+002	2.84582378717280e+001,-2.45368370803591e+001
7.69808768160178e+002	2.84124396108120e+001,-2.44712901755856e+001
7.75192069344404e+002	2.83667860819212e+001,-2.44071260619155e+001
7.80575370528631e+002	2.83212705647882e+001,-2.43443123733474e+001
7.85958671712857e+002	2.82758866117150e+001,-2.42828176112488e+001
7.91341972897084e+002	2.82306280365166e+001,-2.42226111158935e+001
7.96725274081311e+002	2.81854889039660e+001,-2.41636630390195e+001
8.02108575265537e+002	2.81404635197189e+001,-2.41059443175608e+001
8.07491876449764e+002	2.80955464207008e+001,-2.40494266482801e+001
8.12875177633991e+002	2.80507323659558e+001,-2.39940824635436e+001
8.18258478818217e+002	2.80060163278690e+001,-2.39398849078545e+001
8.23641780002444e+002	2.79613934838012e+001,-2.38868078154290e+001
8.29025081186671e+002	2.79168592081038e+001,-2.38348256885073e+001
8.34408382370897e+002	2.78724090644633e+001,-2.37839136765860e+001
8.39791683555124e+002	2.78280387985966e+001,-2.37340475563549e+001
8.45174984739351e+002	2.77837443312770e+001,-2.36852037123933e+001
8.50558285923577e+002	2.77395217516256e+001,-2.36373591186203e+001
8.55941587107804e+002	2.76953673107329e+001,-2.35904913203677e+001
8.61324888292030e+002	2.76512774155208e+001,-2.35445784171831e+001
8.66708189476257e+002	2.76072486228782e+001,-2.34995990461756e+001
8.72091490660484e+002	2.75632776340505e+001,-2.34555323660387e+001
8.77474791844710e+002	2.75193612892535e+001,-2.34123580415633e+001
8.82858093028937e+002	2.74754965625072e+001,-2.33700562288074e+001
8.88241394213164e+002	2.74316805567023e+001,-2.33286075607106e+001
8.93624695397390e+002	2.73879104988470e+001,-2.32879931332230e+001
8.99007996581617e+002	2.73441837355366e+001,-2.32481944919640e+001
9.04391297765844e+002	2.73004977285662e+001,-2.32091936193249e+001
9.09774598950070e+002	2.72568500507601e+001,-2.31709729219920e+001
9.15157900134297e+002	2.72132383819451e+001,-2.31335152189279e+001
9.20541201318523e+002	2.71696605050906e+001,-2.30968037297673e+001
9.25924502502750e+002	2.71261143026110e+001,-2.30608220635903e+001
9.31307803686977e+002	2.70825977527860e+001,-2.30255542080894e+001
9.36691104871203e+002	2.70391089263593e+001,-2.29909845190788e+001
9.42074406055430e+002	2.69956459832366e+001,-2.29570977103949e+001
9.47457707239657e+002	2.69522071693258e+001,-2.29238788440809e+001
9.52841008423883e+002	2.69087908135015e+001,-2.28913133209419e+001
9.58224309608110e+002	2.68653953246756e+001,-2.28593868713958e+001
9.63607610792337e+002	2.68220191889878e+001,-2.28280855465971e+001
9.68990911976563e+002	2.67786609670968e+001,-2.27973957098898e+001
