0.0, 0.0
2.92968748093, -0.0147153298161
5.85937496185, -0.0585588581891
8.78906244278, -0.130643435593
11.7187499237, -0.229555141785
14.6484374046, -0.353441176443
17.5781248856, -0.500116783751
20.5078123665, -0.66717925475
23.4374998474, -0.852118113621
26.3671873283, -1.05241311778
29.2968748093, -1.26561487052
32.2265622902, -1.48940592042
35.1562497711, -1.72164271083
38.085937252, -1.96038043333
41.015624733, -2.20388374751
43.9453122139, -2.45062660406
46.8749996948, -2.69928424801
49.8046871757, -2.94872006999
52.7343746567, -3.19796946204
55.6640621376, -3.44622231962
58.5937496185, -3.69280536954
61.5234370994, -3.93716511977
64.4531245804, -4.17885192669
67.3828120613, -4.4175054514
70.3124995422, -4.6528416175
73.2421870231, -4.88464107509
76.1718745041, -5.11273910674
79.101561985, -5.33701687138
82.0312494659, -5.55739386145
84.9609369468, -5.77382144218
87.8906244278, -5.98627734369
90.8203119087, -6.19476098397
93.7499993896, -6.39928951054
96.6796868705, -6.59989446047
99.6093743515, -6.79661894925
102.539061832, -6.9895153108
105.468749313, -7.17864312067
108.398436794, -7.36406754417
111.328124275, -7.54585795941
114.257811756, -7.72408681242
117.187499237, -7.89882866806
120.117186718, -8.07015942578
123.046874199, -8.23815567416
125.97656168, -8.402894162
128.906249161, -8.56445136734
131.835936642, -8.72290314859
134.765624123, -8.87832446445
137.695311603, -9.03078915144
140.624999084, -9.18036974951
143.554686565, -9.32713736782
146.484374046, -9.47116158395
149.414061527, -9.61251037087
152.343749008, -9.75125004701
155.273436489, -9.88744524518
158.20312397, -10.0211588974
161.132811451, -10.1524522321
164.062498932, -10.2813847826
166.992186413, -10.4080144028
169.921873894, -10.5323972907
172.851561375, -10.6545880169
175.781248856, -10.774639557
178.710936336, -10.8926033279
181.640623817, -11.0085292255
184.570311298, -11.1224656648
187.499998779, -11.2344596212
190.42968626, -11.3445566719
193.359373741, -11.4528010379
196.289061222, -11.5592356262
199.218748703, -11.663902071
202.148436184, -11.7668407754
205.078123665, -11.8680909513
208.007811146, -11.9676906595
210.937498627, -12.0656768483
213.867186108, -12.1620853911
216.796873588, -12.2569511235
219.726561069, -12.350307879
222.65624855, -12.4421885231
225.585936031, -12.5326249875
228.515623512, -12.6216483018
231.445310993, -12.7092886252
234.374998474, -12.7955752765
237.304685955, -12.8805367635
240.234373436, -12.9642008105
243.164060917, -13.0465943857
246.093748398, -13.127743727
249.023435879, -13.2076743672
251.95312336, -13.2864111578
254.882810841, -13.3639782925
257.812498321, -13.4403993291
260.742185802, -13.5156972109
263.671873283, -13.5898942875
266.601560764, -13.6630123345
269.531248245, -13.7350725722
272.460935726, -13.8060956841
275.390623207, -13.8761018344
278.320310688, -13.9451106848
281.249998169, -14.0131414107
284.17968565, -14.0802127169
287.109373131, -14.1463428521
290.039060612, -14.211549624
292.968748093, -14.2758504125
295.898435573, -14.3392621833
298.828123054, -14.4018015006
301.757810535, -14.4634845395
304.687498016, -14.5243270978
307.617185497, -14.5843446071
310.546872978, -14.6435521443
313.476560459, -14.7019644416
316.40624794, -14.7595958972
319.335935421, -14.8164605845
322.265622902, -14.872572262
325.195310383, -14.9279443822
328.124997864, -14.9825901002
331.054685345, -15.0365222824
333.984372825, -15.0897535145
336.914060306, -15.1422961093
339.843747787, -15.1941621143
342.773435268, -15.2453633192
345.703122749, -15.2959112623
348.63281023, -15.3458172383
351.562497711, -15.3950923038
354.492185192, -15.4437472845
357.421872673, -15.4917927808
360.351560154, -15.5392391739
363.281247635, -15.5860966315
366.210935116, -15.6323751134
369.140622597, -15.6780843767
372.070310078, -15.7232339809
374.999997558, -15.7678332934
377.929685039, -15.8118914938
380.85937252, -15.8554175786
383.789060001, -15.8984203661
386.718747482, -15.9409085006
389.648434963, -15.9828904567
392.578122444, -16.0243745432
395.507809925, -16.0653689075
398.437497406, -16.105881539
401.367184887, -16.1459202733
404.296872368, -16.1854927955
407.226559849, -16.2246066442
410.15624733, -16.2632692142
413.08593481, -16.3014877605
416.015622291, -16.3392694013
418.945309772, -16.3766211208
421.874997253, -16.4135497729
424.804684734, -16.4500620837
427.734372215, -16.4861646544
430.664059696, -16.5218639644
433.593747177, -16.5571663734
436.523434658, -16.592078125
439.453122139, -16.6266053481
442.38280962, -16.6607540606
445.312497101, -16.6945301707
448.242184582, -16.7279394801
451.171872063, -16.760987686
454.101559543, -16.7936803832
457.031247024, -16.8260230666
459.960934505, -16.8580211329
462.890621986, -16.8896798831
465.820309467, -16.9210045241
468.749996948, -16.9520001713
471.679684429, -16.9826718496
474.60937191, -17.0130244962
477.539059391, -17.0430629615
480.468746872, -17.0727920118
483.398434353, -17.1022163303
486.328121834, -17.1313405191
489.257809315, -17.1601691009
492.187496795, -17.1887065204
495.117184276, -17.2169571459
498.046871757, -17.2449252711
500.976559238, -17.2726151162
503.906246719, -17.3000308295
506.8359342, -17.3271764891
509.765621681, -17.3540561037
512.695309162, -17.3806736146
515.624996643, -17.4070328965
518.554684124, -17.433137759
521.484371605, -17.458991948
524.414059086, -17.4845991467
527.343746567, -17.509962977
530.273434047, -17.5350870004
533.203121528, -17.5599747194
536.132809009, -17.5846295786
539.06249649, -17.6090549656
541.992183971, -17.6332542126
544.921871452, -17.6572305965
547.851558933, -17.680987341
550.781246414, -17.7045276168
553.710933895, -17.7278545431
556.640621376, -17.7509711881
559.570308857, -17.7738805704
562.499996338, -17.7965856597
565.429683819, -17.8190893775
568.3593713, -17.8413945985
571.28905878, -17.863504151
574.218746261, -17.8854208178
577.148433742, -17.9071473373
580.078121223, -17.928686404
